iter	Logloss
0	0.5843845477
1	0.5158823722
2	0.4646111125
3	0.4310439384
4	0.402825491
5	0.3793411265
6	0.3614777502
7	0.3506254522
8	0.3411987009
9	0.3341004025
10	0.3277672623
11	0.3226637417
12	0.3173036592
13	0.3134001064
14	0.3099318477
15	0.3070428799
16	0.30449222
17	0.3021802518
18	0.3004112237
19	0.2983458079
20	0.2966455149
21	0.2949207698
22	0.2932070684
23	0.2920350326
24	0.2898189215
25	0.2882435361
26	0.2866336717
27	0.2854282106
28	0.2843095177
29	0.2832933808
30	0.2820826789
31	0.2813047011
32	0.2804462822
33	0.279214319
34	0.2780223412
35	0.2771879942
36	0.27657761
37	0.2756454969
38	0.2748521081
39	0.2741295536
40	0.2735435927
41	0.272788854
42	0.2719981283
43	0.271482176
44	0.2705915536
45	0.2699452986
46	0.2693962621
47	0.2682586633
48	0.2677210074
49	0.2669191766
