iter	Passed	Remaining
0	364	17870
1	958	23001
2	1364	21371
3	1722	19810
4	2070	18632
5	2526	18526
6	2902	17829
7	3254	17087
8	3602	16410
9	3979	15918
10	4286	15198
11	4591	14540
12	4945	14075
13	5268	13548
14	5586	13036
15	5944	12632
16	6300	12230
17	6635	11796
18	7056	11513
19	7566	11350
20	7946	10974
21	8353	10632
22	8729	10247
23	9084	9841
24	9421	9421
25	9755	9004
26	10082	8588
27	10440	8203
28	10864	7867
29	11213	7475
30	11537	7071
31	11883	6684
32	12228	6299
33	12600	5929
34	12962	5555
35	13368	5198
36	13800	4848
37	14196	4483
38	14581	4112
39	15129	3782
40	15534	3409
41	15903	3029
42	16290	2651
43	16633	2268
44	16975	1886
45	17321	1506
46	17706	1130
47	18081	753
48	18454	376
49	18819	0
